year,jn_code,hybrid_oa_articles,articles,journal_title,e_issn,oa_mode
2015,AAS,1,214,Acta Anaesthesiologica Scandinavica,1399-6576,hybrid oa
2015,ACP,2,99,Applied Cognitive Psychology,1099-0720,hybrid oa
2015,ACR,1,246,Arthritis Care & Research,2151-4658,hybrid oa
2015,ADB,1,127,Addiction Biology,1369-1600,hybrid oa
2015,ADD,7,387,Addiction,1360-0443,hybrid oa
2015,ADMA,5,1410,Advanced Materials,1521-4095,hybrid oa
2015,ADMI,1,341,Advanced Materials Interfaces,2196-7350,hybrid oa
2015,ADOM,4,297,Advanced Optical Materials,2195-1071,hybrid oa
2015,ADSC,1,474,Advanced Synthesis & Catalysis,1615-4169,hybrid oa
2015,AENM,2,490,Advanced Energy Materials,1614-6840,hybrid oa
2015,AGE,2,138,Animal Genetics,1365-2052,hybrid oa
2015,AHM,1,345,Advanced Healthcare Materials,2192-2659,hybrid oa
2015,AIC,3,408,AIChE Journal,1547-5905,hybrid oa
2015,AJCO,1,118,Asia-Pacific Journal of Clinical Oncology,1743-7563,hybrid oa
2015,AJMB,1,121,American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,1552-485X,hybrid oa
2015,AJMG,3,621,American Journal of Medical Genetics Part A,1552-4833,hybrid oa
2015,AJP,1,159,American Journal of Primatology,1098-2345,hybrid oa
2015,AJT,7,542,American Journal of Transplantation,1600-6143,hybrid oa
2015,ANAE,4,363,Anaesthesia,1365-2044,hybrid oa
2015,ANDP,1,140,Annalen der Physik,1521-3889,hybrid oa
2015,ANGE,22,3204,Angewandte Chemie,1521-3757,hybrid oa
2015,ANIE,23,3199,Angewandte Chemie International Edition,1521-3773,hybrid oa
2015,ANS,2,454,ANZ Journal of Surgery,1445-2197,hybrid oa
2015,APA,1,390,Acta Paediatrica: Nurturing the Child,1651-2227,hybrid oa
2015,APT,3,434,Alimentary Pharmacology & Therapeutics,1365-2036,hybrid oa
2015,ART,9,509,Arthritis & Rheumatology,2326-5205,hybrid oa
2015,ASI,2,335,Journal of the Association for Information Science and Technology,2330-1643,hybrid oa
2015,ASIA,1,406,Chemistry - An Asian Journal,1861-471X,hybrid oa
2015,AYA,9,859,Acta Crystallographica Section A: Foundations and Advances,2053-2733,hybrid oa
2015,AYB,9,93,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",2052-5206,hybrid oa
2015,AYC,3,199,Acta Crystallographica Section C: Structural Chemistry,2053-2296,hybrid oa
2015,AYF,41,251,Acta crystallographica Section F Structural Biology Communications,2053-230X,hybrid oa
2015,BBB,3,67,"Biofuels, Bioproducts and Biorefining",1932-1031,hybrid oa
2015,BDM,2,74,Journal of Behavioral Decision Making,1099-0771,hybrid oa
2015,BERJ,1,56,British Educational Research Journal,1469-3518,hybrid oa
2015,BIES,29,218,BioEssays,1521-1878,hybrid oa
2015,BIOM,1,182,Biometrics,1541-0420,hybrid oa
2015,BIT,2,402,Biotechnology and Bioengineering,1097-0290,hybrid oa
2015,BJET,1,164,British Journal of Educational Technology,1467-8535,hybrid oa
2015,BJH,1,535,British Journal of Haematology,1365-2141,hybrid oa
2015,BJU,2,462,BJU International,1464-410X,hybrid oa
2015,BPH,2,422,British Journal of Pharmacology,1476-5381,hybrid oa
2015,BRV,5,76,Biological Reviews,1469-185X,hybrid oa
2015,CAR,1,65,Child Abuse Review,1099-0852,hybrid oa
2015,CCD,3,593,Catheterization and Cardiovascular Interventions,1522-726X,hybrid oa
2015,CCTC,1,703,ChemCatChem,1867-3899,hybrid oa
2015,CDEV,1,124,Child Development,1467-8624,hybrid oa
2015,CEA,3,202,Clinical & Experimental Allergy,1365-2222,hybrid oa
2015,CED,1,242,Clinical and Experimental Dermatology,1365-2230,hybrid oa
2015,CEI,4,228,Clinical & Experimental Immunology,1365-2249,hybrid oa
2015,CELC,1,360,ChemElectroChem,2196-0216,hybrid oa
2015,CFS,2,65,Child & Family Social Work,1365-2206,hybrid oa
2015,CGE,1,142,Clinical Genetics,1399-0004,hybrid oa
2015,CHEM,4,2656,Chemistry - A European Journal,1521-3765,hybrid oa
2015,CMI,1,151,Cellular Microbiology,1462-5822,hybrid oa
2015,CNCR,1,631,Cancer,1097-0142,hybrid oa
2015,CNE,8,232,The Journal of Comparative Neurology,1096-9861,hybrid oa
2015,COBI,1,187,Conservation Biology,1523-1739,hybrid oa
2015,COIN,1,17,Computational Intelligence,1467-8640,hybrid oa
2015,CPF,5,102,Clinical Physiology and Functional Imaging,1475-097X,hybrid oa
2015,CPP,1,49,Clinical Psychology & Psychotherapy,1099-0879,hybrid oa
2015,CRIQ,1,59,Critical Quarterly,1467-8705,hybrid oa
2015,CRJ,2,145,The Clinical Respiratory Journal,1752-699X,hybrid oa
2015,CSSC,1,599,ChemSusChem,1864-564X,hybrid oa
2015,CYTB,2,185,Cytometry Part A,1552-4930,hybrid oa
2015,DAR,3,139,Drug and Alcohol Review,1465-3362,hybrid oa
2015,DESC,2,99,Developmental Science,1467-7687,hybrid oa
2015,DME,8,334,Diabetic Medicine,1464-5491,hybrid oa
2015,DNEU,1,101,Developmental Neurobiology,1932-846X,hybrid oa
2015,DOM,3,180,"Diabetes, Obesity and Metabolism",1463-1326,hybrid oa
2015,DTA,2,157,Drug Testing and Analysis,1942-7611,hybrid oa
2015,ECC,4,153,European Journal of Cancer Care,1365-2354,hybrid oa
2015,ECOG,2,140,Ecography,1600-0587,hybrid oa
2015,EEN,1,111,Ecological Entomology,1365-2311,hybrid oa
2015,EIP,3,98,Early Intervention in Psychiatry,1751-7893,hybrid oa
2015,EJE,1,48,European Journal of Dental Education,1600-0579,hybrid oa
2015,EJI,11,399,European Journal of Immunology,1521-4141,hybrid oa
2015,EJLT,1,328,European Journal of Lipid Science and Technology,1438-9312,hybrid oa
2015,ELE,5,160,Ecology Letters,1461-0248,hybrid oa
2015,ELPS,2,472,ELECTROPHORESIS,1522-2683,hybrid oa
2015,EMBJ,45,245,The EMBO Journal,1460-2075,hybrid oa
2015,EMBR,30,196,EMBO Reports,1469-3178,hybrid oa
2015,EMI,15,335,Environmental Microbiology,1462-2920,hybrid oa
2015,ENTE,2,209,Energy Technology,2194-4296,hybrid oa
2015,ENV,3,52,Environmetrics,1099-095X,hybrid oa
2015,EPP,1,79,EPPO Bulletin,1365-2338,hybrid oa
2015,ESP,1,152,Earth Surface Processes and Landforms,1096-9837,hybrid oa
2015,ETC,3,424,Environmental Toxicology and Chemistry,1552-8618,hybrid oa
2015,EVJ,1,226,Equine Veterinary Journal,2042-3306,hybrid oa
2015,EVO,7,266,Evolution,1558-5646,hybrid oa
2015,FAF,3,34,Fish and Fisheries,1467-2979,hybrid oa
2015,FARE,1,51,Family Relations,1741-3729,hybrid oa
2015,FEB2,10,524,FEBS Letters,1873-3468,hybrid oa
2015,FEC,6,225,Functional Ecology,1365-2435,hybrid oa
2015,FMII,1,11,"Financial Markets, Institutions & Instruments",1468-0416,hybrid oa
2015,GBC,10,141,Global Biogeochemical Cycles,1944-9224,hybrid oa
2015,GCB,8,326,Global Change Biology,1365-2486,hybrid oa
2015,GGGE,9,264,"Geochemistry, Geophysics, Geosystems",1525-2027,hybrid oa
2015,GGI,2,251,Geriatrics & Gerontology International,1447-0594,hybrid oa
